,STATION_CD,STATION_NM,STATION_NM_ENG,LINE_NUM,FR_CODE,CYBER_ST_CODE,BRANCH_OFFICE_CODE,BRANCH_OFFICE_NM,REGIDATE,TEL,FAX,POST_CODE,ADDRESS,MINWON,INFOTESK,CULTURE,TICKET,OBSTACLE,MEETPLACE,PARKING,BICYCLE,MUIN,OFFICE,NURSING,ELEVATOR,ESCALATOR,WHEELCHAIR,SPEEDNATE,TOILET,STATION_NM_HAN,URE,XPOINT,YPOINT,XPOINT_WGS,YPOINT_WGS
0,0150,서울,Seoul,1,133,0150,115100,시청영업소,1985-10-18 0:0:0,02-6110-1331,6110 - 1339,04527,서울특별시 중구 세종대로 지하 2,N,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,게이트 외부,서울,,493365.0,1125595.0,37.554648,126.972559
0,1762,오이도,Oido,4,456,1762,410000,철도청구간,,031-319-7788,,15018,경기도 시흥시 역전로 430,,,,,,,,,,,N,,,,,게이트 외부,烏耳島,,441955.0,1072345.0,37.362357,126.738714
0,0312,불광,Bulgwang,3,322,0312,131700,경복궁영업소,1985-7-12 0:0:0,02-6110-3221,6110 - 3229,03397,서울특별시 은평구 통일로 지하 723-1,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,게이트 외부,佛光,,484337.0,1140982.0,37.610469,126.929887
0,0339,수서,Suseo,3,349,0339,133400,도곡영업소,1993-10-30 0:0:0,02-6110-3491,6110 - 3499,06362,서울특별시 강남구 광평로 지하 270,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,게이트 내부,水西,,522445.0,1106977.0,37.487371,127.101880
0,1803,역곡,Yeokgok,1,146,1803,410000,철도청구간,,02-2639-3434,,14673,경기도 부천시 원미구 역곡로 1,,,,,,,,,,,N,,,,,게이트 외부,驛谷,조선시대에는 40리마다 역원이 설치되어 있었으며 한양과 제물포사이 40리 지점에도 역원이 있었다. 이곳을 일명 역마골로 불리우다가 시승격과 함께 역곡으로 명명 되었다.,458312.0,1106430.0,37.485178,126.811502
0,0244,용답,Yongdap,2,211-1,0244,121100,성수영업소,1980-10-31 00:00:00,02-6110-1341,6110 - 1349,04761,서울특별시 성동구 용답길 86,N,N,N,N,,,,,,,N,,,,,게이트 외부,龍踏,"○ '용답동'의 동명은 용두동 지역과 답십리동 지역의 일부가 1975년 10월 1일 통합되면서 머리글자를 따서 용답동이 되었으며, 인근에 군자차량기지가 있어 '기지역'으로 명명되었다가 '용답역'으로 개명되었다.",511015.0,1127677.0,37.561904,127.050899
0,1823,도화,Dohwa,1,157,1823,410000,철도청구간,,032-863-1464,,22119,인천광역시 남구 숙골로24번길 9,,,,,,,,,,,N,,,,,게이트 외부,道禾,"인근의 동명에서 유래했으며, 도마다리말(말이 지나는 다리마을)과 화동(벼마을)의 마을을 따서 정해진 이름이다.",426550.0,1101115.0,37.466070,126.668672
0,1005,대방,Daebang,1,137,1005,410000,철도청구간,,02-2639-3331,,07319,서울특별시 영등포구 여의대방로 300,,,,,,,,,,,N,,,,,게이트 내부,大方,"조선시대 높은 절과 번댕이 두마을로 이루어진 곳이었는데, 일제 때 번대방리라 하다가 광복 후 대방으로 개칭됨.",483645.0,1114340.0,37.513342,126.926382
0,0310,구파발,Gupabal,3,320,0310,131700,경복궁영업소,1985-07-12 00:00:00,02-6110-3201,6110 - 3209,03306,서울특별시 은평구 진관2로 지하 15-25,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,게이트 외부,舊把撥,○ 역이 있는 동명에서 유래된 것으로 구파발이란 지명은 조선시대 중기부터 공문서를 전달하기 위한 파발역이 있어 이름지어졌다.,481875.0,1148452.0,37.636763,126.918821
0,0204,을지로4가,Euljiro 4(sa)-ga,2,204,0204,120700,상왕십리영업소,1983-9-16 0:0:0,02-6110-2041,6110 - 2049,04548,서울특별시 중구 을지로 지하 178,N,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,Y,게이트 외부,乙支路4街,,499460.0,1129122.0,37.566941,126.998079
