,사용일,호선,역명,sta_no,상하선,time,count
0,평일,1,동대문,155,1,05,136.0
1,평일,1,동대문,155,1,06,161.6
2,평일,1,동대문,155,1,07,262.4
3,평일,1,동대문,155,1,08,460.0
4,평일,1,동대문,155,1,09,416.79999999999995
5,평일,1,동대문,155,1,10,391.20000000000005
6,평일,1,동대문,155,1,11,476.0
7,평일,1,동대문,155,1,12,552.0
8,평일,1,동대문,155,1,13,591.2
9,평일,1,동대문,155,1,14,612.0
10,평일,1,동대문,155,1,15,660.0
11,평일,1,동대문,155,1,16,668.0
12,평일,1,동대문,155,1,17,806.4000000000001
13,평일,1,동대문,155,1,18,1210.4
14,평일,1,동대문,155,1,19,868.0
15,평일,1,동대문,155,1,20,552.8
16,평일,1,동대문,155,1,21,675.2
17,평일,1,동대문,155,1,22,756.8000000000001
18,평일,1,동대문,155,1,23,392.79999999999995
19,평일,1,동대문,155,1,24,144.0
20,평일,1,동대문,155,2,05,222.40000000000003
21,평일,1,동대문,155,2,06,320.0
22,평일,1,동대문,155,2,07,797.6
23,평일,1,동대문,155,2,08,1474.3999999999996
24,평일,1,동대문,155,2,09,664.0
25,평일,1,동대문,155,2,10,565.5999999999999
26,평일,1,동대문,155,2,11,524.0
27,평일,1,동대문,155,2,12,599.2
28,평일,1,동대문,155,2,13,591.2
29,평일,1,동대문,155,2,14,577.6
30,평일,1,동대문,155,2,15,624.8
31,평일,1,동대문,155,2,16,672.0
32,평일,1,동대문,155,2,17,712.8
33,평일,1,동대문,155,2,18,674.4000000000001
34,평일,1,동대문,155,2,19,370.4
35,평일,1,동대문,155,2,20,252.8
36,평일,1,동대문,155,2,21,278.4
37,평일,1,동대문,155,2,22,308.0
38,평일,1,동대문,155,2,23,183.2
39,평일,1,동대문,155,2,24,24.0
40,평일,1,동묘앞,159,1,05,123.2
41,평일,1,동묘앞,159,1,06,156.8
42,평일,1,동묘앞,159,1,07,226.4
43,평일,1,동묘앞,159,1,08,421.6
44,평일,1,동묘앞,159,1,09,352.0
45,평일,1,동묘앞,159,1,10,368.80000000000007
46,평일,1,동묘앞,159,1,11,438.4
47,평일,1,동묘앞,159,1,12,510.4
48,평일,1,동묘앞,159,1,13,535.2
49,평일,1,동묘앞,159,1,14,566.3999999999999
50,평일,1,동묘앞,159,1,15,607.2
51,평일,1,동묘앞,159,1,16,627.1999999999999
